,precision,recall,f1-score,support
0,0.8193736343772761,0.8029978586723768,0.8111031002162942,1401.0
1,0.7620689655172413,0.7809187279151943,0.7713787085514835,1132.0
accuracy,0.7931306750888275,0.7931306750888275,0.7931306750888275,0.7931306750888275
macro avg,0.7907212999472587,0.7919582932937856,0.7912409043838888,2533.0
weighted avg,0.7937641258302728,0.7931306750888275,0.793350233510978,2533.0
