25687,0,0
1163,0,0
23724,1,1
17758,1,1
11829,0,0
16651,0,0
23566,0,1
2569,1,1
18629,1,0
688,1,1
27464,1,1
14369,0,0
23663,0,0
7610,0,0
26835,1,1
2379,0,0
16634,1,1
4417,1,0
21830,1,1
32,1,1
4168,1,1
23727,1,1
15131,0,0
23282,0,0
5079,0,0
8794,0,0
27835,1,1
8652,1,0
20519,0,0
958,0,0
11093,0,0
28589,0,0
812,0,0
14592,1,1
5259,0,0
12973,0,1
27418,0,0
28750,1,1
549,0,1
5220,0,0
10260,1,1
27132,0,0
22389,0,0
16574,0,0
14315,1,1
14121,1,0
11722,1,1
15824,0,0
19412,1,1
2147,0,0
16886,0,1
23044,0,0
1976,0,1
19966,0,0
13920,0,0
28150,1,1
11923,0,0
13796,0,1
15193,0,0
17000,0,0
3790,1,1
26269,0,1
12415,0,1
9621,0,1
8430,0,0
11811,0,0
16392,0,1
14646,1,1
15374,0,0
993,1,1
25486,1,1
8757,0,0
25554,0,0
1306,1,0
22545,1,1
14188,1,1
6905,0,1
23554,0,0
23380,1,1
4492,0,0
11837,1,1
9370,0,1
23995,0,0
26560,0,0
809,1,1
18218,0,0
22302,0,0
3580,1,1
1207,1,1
8444,1,0
25395,1,0
23503,0,1
8298,1,1
24522,1,1
13726,0,0
9095,0,1
20778,0,0
28503,0,0
18974,1,1
14432,1,1
7146,0,0
15227,0,0
25984,0,0
20309,0,0
4067,0,1
16307,0,0
23084,0,0
14437,1,1
3055,1,1
438,0,0
21175,0,1
16694,0,1
13977,1,1
12175,0,0
753,1,1
11088,1,1
6084,1,0
80,0,1
28576,0,0
23804,0,0
1597,0,0
637,0,1
14545,1,0
15980,1,1
5945,1,1
26546,0,0
13032,0,0
21714,0,0
14758,1,1
24960,0,0
19316,0,0
7805,0,0
12173,1,1
13924,1,0
23784,1,1
6864,1,1
14026,1,0
28491,1,1
5033,0,0
10234,1,0
20099,0,0
14740,1,1
18337,0,0
5428,0,0
14001,1,1
25285,0,0
4107,1,1
12470,1,0
17644,0,0
12558,0,0
19369,0,0
5223,0,0
4491,1,0
9064,0,0
11758,0,0
2680,1,0
23438,0,0
800,0,0
11162,0,1
11381,1,1
17002,0,0
2772,0,0
4593,1,1
19645,0,0
24222,0,0
17311,0,0
1996,0,1
3015,0,0
5186,1,1
11025,1,1
9528,0,0
3708,1,1
560,1,1
5519,1,1
14506,1,1
14635,1,1
27137,1,1
20963,0,0
27759,1,1
17585,0,0
6828,0,0
19912,1,1
11556,0,1
165,0,0
4683,1,1
10976,0,0
26357,0,0
15939,0,1
1852,1,1
3766,1,1
10769,1,1
10993,1,1
1950,0,0
8972,1,1
23778,0,0
7666,1,0
26287,0,0
1117,1,1
18249,0,0
25327,0,0
14004,1,1
25699,0,0
12333,0,0
1514,0,0
25301,0,0
9786,0,1
14043,1,1
9011,1,1
15114,0,0
14417,1,0
1297,1,1
25582,1,1
5930,1,1
18097,0,0
10185,0,0
14824,1,1
1730,0,0
13525,1,1
24520,1,1
11905,0,0
10390,0,1
28085,0,0
5849,1,1
12398,0,0
16928,1,1
27644,0,0
12892,1,1
6892,0,0
16002,0,0
12169,0,1
9853,1,1
20769,0,0
26758,1,1
13856,0,1
14772,1,1
4333,0,0
1552,0,0
24994,0,0
14744,1,1
18078,1,1
773,0,1
5854,1,0
7117,0,0
9778,1,1
18290,1,1
1050,1,1
20798,0,0
17551,0,0
19858,0,0
14113,1,0
11842,1,1
5624,1,1
17341,0,0
19095,1,0
25154,0,0
12475,1,1
5776,1,0
17391,0,0
3781,1,0
8889,0,0
14258,1,1
17741,1,1
4054,1,0
21132,1,1
9350,1,1
14309,1,1
26514,1,1
1407,0,1
23924,1,1
21607,0,0
360,0,0
6071,1,0
28430,1,0
12854,0,0
23894,0,0
15613,0,0
22762,0,0
26188,0,0
21073,0,0
14512,1,0
5335,0,0
19384,0,0
20589,0,0
10254,1,1
26395,0,1
3418,1,1
